,stock,from,to,from_w,to_w,cash,price
2016-04-18 14:54:39,SZ002526,1.66822477,0.6495,25.84,9.62,2.5777278,9.36
2016-04-18 10:01:13,SH600016,0.73848611,1.1349,11.07,17.0,1.48259536,9.21
2016-04-18 09:51:30,SZ002526,1.05301197,1.672,15.69,25.0,1.87825539,8.97
2016-04-18 09:31:27,SZ300059,0.54129999,0.5178,4.29,7.73,2.50070611,24.36
2016-04-14 14:56:29,SZ000970,1.31123958,0.0,19.62,0.0,2.50070611,12.51
2016-04-14 14:37:17,SZ002526,0.0,1.0764,0.0,16.0,0.17876814,9.2
2016-04-14 13:48:27,SZ002386,0.0,1.8752,0.0,28.0,1.25518037,7.73
2016-04-14 10:59:11,SZ300059,1.01622188,1.5476,14.93,23.0,3.13037857,46.06
2016-04-13 13:17:26,SZ300059,0.0,1.0162,0.0,15.0,3.67309249,46.58
2016-04-13 13:11:32,SZ000970,0.0,1.3555,0.0,20.0,4.68931437,12.85
2016-04-13 11:25:59,SZ002474,1.97924769,0.0,29.23,0.0,6.04485971,15.24
